Date,AMZN,BAC,GOOGL,MCD,VZ,Cur Quarter,FSQuarter,year,amzn4Qsum,amznPEratio,amznyeps,bac4Qsum,bacPEratio,bacyeps,googl4Qsum,googlPEratio,googlyeps,mcd4Qsum,mcdPEratio,mcdyeps,vz4Qsum,vzPEratio,vzyeps
2014-10-16,15.142999649047852,16.079999923706055,26.84600067138672,89.91000366210938,47.66999816894531,2014Q4,2014Q3,2014,-0.48,-31.547915935516357,-0.5399999999999999,0.38999999999999996,41.23076903514374,0.35,18.73,1.4333155724178708,20.57,5.1,17.629412482766547,4.83,4.81,9.910602529926262,2.51
2014-10-17,15.182000160217283,16.209999084472656,26.148500442504883,91.04000091552734,48.06999969482422,2014Q4,2014Q3,2014,-0.48,-31.629167000452675,-0.5399999999999999,0.38999999999999996,41.56410021659656,0.35,18.73,1.3960758378272762,20.57,5.1,17.85098057167203,4.83,4.81,9.993762930316887,2.51
2014-10-20,15.310500144958496,16.260000228881836,26.618999481201172,91.58999633789062,48.47999954223633,2014Q4,2014Q3,2014,-0.48,-31.896875301996868,-0.5399999999999999,0.38999999999999996,41.692308279184196,0.35,18.73,1.4211959146396782,20.57,5.1,17.958822811351105,4.83,4.81,10.079001983832917,2.51
2014-10-21,15.76650047302246,16.600000381469727,26.901500701904297,91.01000213623048,48.689998626708984,2014Q4,2014Q3,2014,-0.48,-32.846875985463456,-0.5399999999999999,0.38999999999999996,42.56410354223007,0.35,18.73,1.4362787347519645,20.57,5.1,17.84509845808441,4.83,4.81,10.122660837153635,2.51
2014-10-22,15.648500442504885,16.399999618530273,27.13450050354004,90.94000244140624,48.310001373291016,2014Q4,2014Q3,2014,-0.48,-32.60104258855184,-0.5399999999999999,0.38999999999999996,42.05128107315455,0.35,18.73,1.4487186600929012,20.57,5.1,17.831373027726713,4.83,4.81,10.043659329166532,2.51
2014-10-23,15.659000396728516,16.600000381469727,27.6825008392334,91.0199966430664,48.220001220703125,2014Q4,2014Q3,2014,-0.48,-32.62291749318441,-0.5399999999999999,0.38999999999999996,42.56410354223007,0.35,18.73,1.4779765530824025,20.57,5.1,17.84705816530714,4.83,4.81,10.02494827873246,2.51
2014-10-24,14.352999687194824,16.719999313354492,27.44499969482422,91.66999816894533,48.77000045776367,2014Q4,2014Q3,2014,-0.48,-29.902082681655884,-0.5399999999999999,0.38999999999999996,42.87179311116537,0.35,18.73,1.4652962997770538,20.57,5.1,17.974509444891243,4.83,4.81,10.139293234462302,2.51
2014-10-27,14.498499870300291,16.59000015258789,27.493999481201172,92.01000213623048,49.41999816894531,2014Q4,2014Q3,2014,-0.48,-30.205208063125607,-0.5399999999999999,0.38999999999999996,42.53846192971255,0.35,18.73,1.4679124122371154,20.57,5.1,18.04117688945696,4.83,4.81,10.274427893751625,2.51
2014-10-28,14.779500007629396,16.799999237060547,27.94700050354004,92.5999984741211,49.959999084472656,2014Q4,2014Q3,2014,-0.48,-30.790625015894577,-0.5399999999999999,0.38999999999999996,43.076921120668075,0.35,18.73,1.4920982650048071,20.57,5.1,18.156862445906096,4.83,4.81,10.386694196356062,2.51
2014-10-29,14.706000328063965,16.989999771118164,27.92250061035156,92.7300033569336,49.83000183105469,2014Q4,2014Q3,2014,-0.48,-30.637500683466595,-0.5399999999999999,0.38999999999999996,43.564101977226066,0.35,18.73,1.4907902087747762,20.57,5.1,18.182353599398745,4.83,4.81,10.35966774034401,2.51
2014-10-30,14.953499794006348,17.030000686645508,28.013500213623047,93.37999725341795,49.900001525878906,2014Q4,2014Q3,2014,-0.48,-31.153124570846558,-0.5399999999999999,0.38999999999999996,43.66666842729618,0.35,18.73,1.4956487033434622,20.57,5.1,18.30980338302313,4.83,4.81,10.374220691450917,2.51
